scenario,N,ta,L,rec_rate_mean,rec_rate_se,corr_s1_s2,se_corr,seed,Ne
SerialConstant,200,10000,500,3.861370400264765e-07,4.326988157582999e-08,0.11609347104066235,0.0013391824143514784,24,10000
SerialConstant,200,10000,500,5.649696483307625e-07,6.27154348716843e-08,0.11754442686068171,0.0013391568141169036,24,10000
SerialConstant,200,10000,500,8.318188134733685e-07,9.316647939238157e-08,0.11792979383377185,0.0013392425490427542,24,10000
SerialConstant,200,10000,500,1.217076517943012e-06,1.3517070046854348e-07,0.11555244433906572,0.0013391202025584738,24,10000
SerialConstant,200,10000,500,1.7921606481302291e-06,2.007634558885695e-07,0.11740108136287304,0.0013392137750172948,24,10000
SerialConstant,200,10000,500,2.622189402747818e-06,2.911829646992863e-07,0.1090525418639102,0.0013402238355254461,24,10000
SerialConstant,200,10000,500,3.86111494441247e-06,4.3255079193730464e-07,0.10722172018311996,0.0013407531500126994,24,10000
SerialConstant,200,10000,500,5.649346342644107e-06,6.273331191544809e-07,0.10274848770794506,0.00134114122522244,24,10000
SerialConstant,200,10000,500,8.319011340892353e-06,9.322371031039053e-07,0.09711372657460748,0.0013419640151471864,24,10000
SerialConstant,200,10000,500,1.2171739291464428e-05,1.3512826583765683e-06,0.08827671914037134,0.0013432027204361985,24,10000
SerialConstant,200,10000,500,1.792126356185749e-05,2.007556357728245e-06,0.07916181056643734,0.0013443991615512236,24,10000
SerialConstant,200,10000,500,2.6221118166639537e-05,2.9123480381275496e-06,0.06869459947950288,0.0013449882650500055,24,10000
SerialConstant,200,10000,500,3.8614429490294817e-05,4.327941566152364e-06,0.053924602713176735,0.001346314206515509,24,10000
SerialConstant,200,10000,500,5.649685823049149e-05,6.272059703845948e-06,0.03913148544803244,0.0013474955759758675,24,10000
SerialConstant,200,10000,500,8.319500200220924e-05,9.326234557270249e-06,0.024467180803576866,0.0013477718579398114,24,10000
TennessenEuropean,200,0,1000,1.217233877627924e-07,1.3510139916156523e-08,0.23216578713159688,0.0013118044339466388,24,10000
TennessenEuropean,200,0,1000,1.792446162074172e-07,2.0095411587987608e-08,0.2286903630909871,0.0013123082176572235,24,10000
TennessenEuropean,200,0,1000,2.622528025081402e-07,2.910256704962032e-08,0.22604004390533217,0.0013138636118360575,24,10000
TennessenEuropean,200,0,1000,3.8614892971640075e-07,4.328032373179461e-08,0.22852265415931697,0.0013125473609693701,24,10000
TennessenEuropean,200,0,1000,5.649782332508675e-07,6.27139044290101e-08,0.22784245534988798,0.0013131108144207194,24,10000
TennessenEuropean,200,0,1000,8.319494311038109e-07,9.325583428425099e-08,0.22817454572546625,0.001312589443243343,24,10000
TennessenEuropean,200,0,1000,1.2172311373029747e-06,1.3510329132404467e-07,0.2237275145489822,0.001314465119033948,24,10000
TennessenEuropean,200,0,1000,1.792307970356337e-06,2.008680739614188e-07,0.22233954015352322,0.0013145431718034374,24,10000
TennessenEuropean,200,0,1000,2.6223493512285924e-06,2.911168949904664e-07,0.22231612086757688,0.0013147654988749618,24,10000
TennessenEuropean,200,0,1000,3.86143347593796e-06,4.327760591838767e-07,0.21599502159928882,0.0013164491591654405,24,10000
TennessenEuropean,200,0,1000,5.649699417038707e-06,6.271872672514702e-07,0.21280581301908474,0.0013176397523047558,24,10000
TennessenEuropean,200,0,1000,8.320181752557664e-06,9.330072475581522e-07,0.2032574859541085,0.00131974970467478,24,10000
TennessenEuropean,200,0,1000,1.2173153605426623e-05,1.3506310026536793e-06,0.19278465775985365,0.0013236143029410204,24,10000
TennessenEuropean,200,0,1000,1.7924118089781328e-05,2.0094044328716013e-06,0.18741648535977354,0.0013242227356411711,24,10000
TennessenEuropean,200,0,1000,2.6224679547179285e-05,2.9106610170220426e-06,0.1726495024585431,0.001328441116971399,24,10000
TennessenEuropean,200,0,1000,3.861559824224332e-05,4.328770846881462e-06,0.1496461271571352,0.0013329993342517431,24,10000
TennessenEuropean,200,0,1000,5.6498252543878164e-05,6.271454318098049e-06,0.12983538784440393,0.0013372087613954316,24,10000
TennessenEuropean,200,0,1000,8.318746560196452e-05,9.321614352206815e-06,0.11134747719900763,0.0013400939381496668,24,10000
TennessenEuropean,200,0,2000,1.2172266916232804e-07,1.3510501958921898e-08,0.32754210081352303,0.0012742421409986408,24,10000
TennessenEuropean,200,0,2000,1.7925496623417217e-07,2.0101919309579002e-08,0.3259377147061963,0.0012742348600566045,24,10000
TennessenEuropean,200,0,2000,2.622667959962671e-07,2.909633272161445e-08,0.3291608727555794,0.001273793716813768,24,10000
TennessenEuropean,200,0,2000,3.861457236048899e-07,4.327894659790357e-08,0.32503699457304297,0.0012750384926554566,24,10000
TennessenEuropean,200,0,2000,5.649745339467453e-07,6.271596219738689e-08,0.3265671557089355,0.001274621850563292,24,10000
TennessenEuropean,200,0,2000,8.320025895425894e-07,9.328875843741842e-08,0.32602668497309656,0.0012742919002564097,24,10000
TennessenEuropean,200,0,2000,1.2173001327550496e-06,1.350694372575893e-07,0.32581432130412913,0.0012752597870308161,24,10000
TennessenEuropean,200,0,2000,1.7924898441352513e-06,2.0098297288618392e-07,0.3215224417514961,0.0012763777256354692,24,10000
TennessenEuropean,200,0,2000,2.6225867664126526e-06,2.910002732820044e-07,0.3189715514996101,0.0012783951858816136,24,10000
TennessenEuropean,200,0,2000,3.861426709037124e-06,4.3277220433866985e-07,0.31256485908046255,0.0012807248114888815,24,10000
TennessenEuropean,200,0,2000,5.649693978676444e-06,6.271884685523714e-07,0.31201481080761384,0.001281203859032245,24,10000
TennessenEuropean,200,0,2000,8.318236876633553e-06,9.317929103750547e-07,0.3000331719422242,0.001286531111840719,24,10000
TennessenEuropean,200,0,2000,1.217064168277083e-05,1.3518656585659617e-06,0.28964942842387487,0.0012903477784688905,24,10000
TennessenEuropean,200,0,2000,1.7925506379968097e-05,2.0102690064248883e-06,0.27508157408782336,0.0012958531828606843,24,10000
TennessenEuropean,200,0,2000,2.6226476242024816e-05,2.9097733614308114e-06,0.25274270307425906,0.001305157165966465,24,10000
TennessenEuropean,200,0,2000,3.862342212545449e-05,4.333637022548402e-06,0.2317206528213129,0.001310827473837825,24,10000
TennessenEuropean,200,0,2000,5.650837202860684e-05,6.266449246075708e-06,0.2048834103280143,0.0013206792430814523,24,10000
TennessenEuropean,200,0,2000,8.319774262848102e-05,9.328011310302305e-06,0.17828465704881383,0.0013264701965459628,24,10000
TennessenEuropean,200,0,500,1.2171894574029572e-07,1.3512302631865177e-08,0.1322527461966278,0.0013366757236589052,24,10000
TennessenEuropean,200,0,500,1.7923379882306558e-07,2.0088755167813976e-08,0.13392615326138396,0.0013360860228359898,24,10000
TennessenEuropean,200,0,500,2.622391891659126e-07,2.9109669251144486e-08,0.13575713605298534,0.0013360877103712736,24,10000
TennessenEuropean,200,0,500,3.861521028909146e-07,4.328245943010111e-08,0.13764477257707824,0.00133536247946479,24,10000
TennessenEuropean,200,0,500,5.649824508229286e-07,6.27120695825611e-08,0.13652277507465413,0.0013359822678463522,24,10000
TennessenEuropean,200,0,500,8.319110710075865e-07,9.323187117510222e-08,0.13397253007642929,0.0013361528650631183,24,10000
TennessenEuropean,200,0,500,1.2171817271474795e-06,1.3512707242436985e-07,0.13882426502230863,0.0013354391255014151,24,10000
TennessenEuropean,200,0,500,1.7925010538552323e-06,2.0098982115511126e-07,0.133396281383417,0.0013358837292414352,24,10000
TennessenEuropean,200,0,500,2.622599628902585e-06,2.9099365080748296e-07,0.1334613363393041,0.0013368073646317245,24,10000
TennessenEuropean,200,0,500,3.8612091171560755e-06,4.3263548704752853e-07,0.13114041916320307,0.001336822737812929,24,10000
TennessenEuropean,200,0,500,5.649411859860912e-06,6.273284519023054e-07,0.1301962581200616,0.00133685927752644,24,10000
TennessenEuropean,200,0,500,8.319933028839126e-06,9.328493642552003e-07,0.12281644489913657,0.0013377817497219416,24,10000
TennessenEuropean,200,0,500,1.2172831621406416e-05,1.3507923356837505e-06,0.11829566258593918,0.001339347086031578,24,10000
TennessenEuropean,200,0,500,1.7925653884565863e-05,2.0103630329038705e-06,0.10933553772366561,0.0013397436193655118,24,10000
TennessenEuropean,200,0,500,2.622666513907103e-05,2.909681524342031e-06,0.10321977363143045,0.0013417756551920151,24,10000
TennessenEuropean,200,0,500,3.862136631050576e-05,4.332345994234258e-06,0.08646494864290237,0.0013426347565046104,24,10000
TennessenEuropean,200,0,500,5.6505705696663664e-05,6.267768923271654e-06,0.08093589294853806,0.0013446974826475946,24,10000
TennessenEuropean,200,0,500,8.321002357829562e-05,9.33566127732432e-06,0.06471590064695013,0.0013447494012314104,24,10000
TennessenEuropean,200,1000,1000,1.2173617992205086e-07,1.3503684591220236e-08,0.21192197541597263,0.0013184071538121479,24,10000
TennessenEuropean,200,1000,1000,1.7927951943885646e-07,2.0116467922800994e-08,0.2124357421742761,0.0013166282754368066,24,10000
TennessenEuropean,200,1000,1000,2.622988100328167e-07,2.908003908642479e-08,0.2107198544692169,0.0013191275384674718,24,10000
TennessenEuropean,200,1000,1000,3.862307964831272e-07,4.333072770566386e-08,0.21448862891652504,0.0013161469628405172,24,10000
TennessenEuropean,200,1000,1000,5.650859546101848e-07,6.266006372373543e-08,0.21224893493733357,0.0013185550187086112,24,10000
TennessenEuropean,200,1000,1000,8.320691902778286e-07,9.332948678419625e-08,0.2124841696211604,0.0013168938347940726,24,10000
TennessenEuropean,200,1000,1000,1.2173887873828873e-06,1.3502303698229413e-07,0.21007836760151488,0.0013190304456456737,24,10000
TennessenEuropean,200,1000,1000,1.792673647218978e-06,2.0109341079609007e-07,0.20761490572501284,0.0013182402241302671,24,10000
TennessenEuropean,200,1000,1000,2.622830930780833e-06,2.908789171069052e-07,0.20509942795012706,0.0013205196302309402,24,10000
