scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB,nreps
Two-Locus Tennessen,233,42,0.001873817422860385,-0.014541120645999368,0.014143469385287781,5000
Two-Locus Tennessen,233,42,0.0019630406500402726,0.02288069330084348,0.014141261785596436,5000
Two-Locus Tennessen,233,42,0.0020565123083486517,-0.005002191110708957,0.014144787931498627,5000
Two-Locus Tennessen,233,42,0.0021544346900318843,0.002435190307962824,0.014144922958709812,5000
Two-Locus Tennessen,233,42,0.0022570197196339213,0.016601214320966978,0.01414301558694506,5000
Two-Locus Tennessen,233,42,0.002364489412645407,0.019439755839909888,0.014142291926945778,5000
Two-Locus Tennessen,233,42,0.0024770763559917113,0.004610818864548042,0.014144814540361855,5000
Two-Locus Tennessen,233,42,0.002595024211399737,-0.018820300976281526,0.0141424595781427,5000
Two-Locus Tennessen,233,42,0.00271858824273294,-0.019852396400200943,0.014142177234860647,5000
Two-Locus Tennessen,233,42,0.002848035868435802,-0.017048433328227027,0.014142909139769826,5000
Two-Locus Tennessen,233,42,0.0029836472402833404,-0.01529102225000452,0.014143311147952628,5000
Two-Locus Tennessen,233,42,0.0031257158496882354,-0.016577666132716492,0.014143021113453965,5000
Two-Locus Tennessen,233,42,0.0032745491628777316,-0.007295717871145904,0.01414458844410293,5000
Two-Locus Tennessen,233,42,0.003430469286314919,-0.0020881303759179176,0.014144934061569503,5000
Two-Locus Tennessen,233,42,0.003593813663804626,-0.0384616600311556,0.014134498709294036,5000
Two-Locus Tennessen,233,42,0.0037649358067924714,-0.0020444162491983307,0.0141449353392209,5000
Two-Locus Tennessen,233,42,0.003944206059437656,-0.008294346189160813,0.014144478331531613,5000
Two-Locus Tennessen,233,42,0.0041320124001153384,-0.012628916977215035,0.014143836867686662,5000
Two-Locus Tennessen,233,42,0.004328761281083062,-0.006001165239470842,0.014144710189102044,5000
Two-Locus Tennessen,233,42,0.004534878508128582,-0.011196466195849483,0.014144078259429583,5000
Two-Locus Tennessen,233,42,0.0047508101621027985,-0.006976177734270424,0.014144620698581021,5000
Two-Locus Tennessen,233,42,0.004977023564332114,-0.009325090351753785,0.014144349882247078,5000
Two-Locus Tennessen,233,42,0.005214008287999685,-0.00044567831588587694,0.014144963494865449,5000
Two-Locus Tennessen,233,42,0.0054622772176843425,0.011595454905256833,0.014144013940082318,5000
Two-Locus Tennessen,233,42,0.00572236765935022,0.0037423186869033555,0.014144865849562871,5000
Two-Locus Tennessen,233,42,0.005994842503189409,-0.005827310101313625,0.014144724733500869,5000
Two-Locus Tennessen,233,42,0.00628029144183426,0.017261014526378023,0.014142857548719119,5000
Two-Locus Tennessen,233,42,0.006579332246575682,-0.005260780990749031,0.014144769161585044,5000
Two-Locus Tennessen,233,42,0.006892612104349695,0.0012358488702292442,0.014144954097701569,5000
Two-Locus Tennessen,233,42,0.007220809018385471,-0.021858501453223364,0.01414158530564472,5000
Two-Locus Tennessen,233,42,0.007564633275546291,-0.0032624944026881544,0.014144889620884614,5000
Two-Locus Tennessen,233,42,0.007924828983539177,0.007340320857158975,0.014144583826984738,5000
