scenario,ta,seed,rec_rate,corr_piApiB,se_corr_piApiB
Two-Locus Theory,1.0,42,1.3219411484660286,0.06488305416002357,0.0031556459013726127
Two-Locus Theory,1.0,42,1.5199110829529332,0.04916440697702076,0.003158485100713411
Two-Locus Theory,1.0,42,1.747528400007683,0.05059776179841691,0.0031582587222982613
Two-Locus Theory,1.0,42,2.009233002565046,0.037717030801197635,0.0031600591727616307
Two-Locus Theory,1.0,42,2.310129700083158,0.033556558367271325,0.003160528334423296
Two-Locus Theory,1.0,42,2.6560877829466896,0.020547685192685933,0.0031616416378029218
Two-Locus Theory,1.0,42,3.0538555088334185,0.01641527207305463,0.0031618831949543056
Two-Locus Theory,1.0,42,3.5111917342151346,0.013674411839965605,0.003162013610218927
Two-Locus Theory,1.0,42,4.037017258596558,0.016171715459978815,0.0031618957458912165
Two-Locus Theory,1.0,42,4.641588833612782,0.00959494004132515,0.003162163714427697
Two-Locus Theory,1.0,42,5.336699231206313,0.010767645534015848,0.003162125955572883
Two-Locus Theory,1.0,42,6.135907273413176,-0.0010023316893113584,0.003162307694882171
Two-Locus Theory,1.0,42,7.054802310718645,0.00614598674245651,0.003162249557659059
Two-Locus Theory,1.0,42,8.111308307896872,-0.0013394141063810413,0.003162306446778962
Two-Locus Theory,1.0,42,9.326033468832199,-0.0003045309239621671,0.0031623091367844946
Two-Locus Theory,1.0,42,10.722672220103231,0.000808316357726544,0.0031623082503317193
Two-Locus Theory,1.0,42,12.32846739442066,-0.002684338496078308,0.0031622978901152407
Two-Locus Theory,1.0,42,14.174741629268048,-0.003585903425094669,0.0031622889517554445
Two-Locus Theory,1.0,42,16.297508346206435,-0.000998359271663723,0.00316230770744853
Two-Locus Theory,1.0,42,18.73817422860383,-0.002297402084709272,0.0031623009379850393
Two-Locus Theory,1.0,42,21.544346900318867,-0.0027540559607179037,0.0031622972906165444
Two-Locus Theory,1.0,42,24.77076355991714,0.0005352368672653495,0.003162308830452482
Two-Locus Theory,1.0,42,28.48035868435805,-0.0011976842681913416,0.0031623070153350263
Two-Locus Theory,1.0,42,32.745491628777316,-0.0035606210309032348,0.003162289237442263
Two-Locus Theory,1.0,42,37.649358067924716,-0.002910162992092908,0.0031622958925154095
Two-Locus Theory,1.0,42,43.287612810830616,-0.0028418566767203428,0.003162296513752483
Two-Locus Theory,1.0,42,49.770235643321136,-0.002008533431623711,0.0031623029047084914
Two-Locus Theory,1.0,42,57.223676593502205,-0.002281585218425578,0.0031623010525008276
Two-Locus Theory,1.0,42,65.79332246575683,0.00029394482835336765,0.0031623091468019346
Two-Locus Theory,1.0,42,75.64633275546291,0.0011747306914680956,0.0031623071014375095
Two-Locus Theory,1.0,42,86.97490026177834,-0.0017815504850408458,0.0031623042649536392
Two-Locus Theory,1.0,42,100.0,-0.0014012929430878489,0.003162306178627905
Two-Locus Theory,0.1,42,0.0001,0.6469670932805133,0.024137083041819676
Two-Locus Theory,0.1,42,0.00011497569953977356,0.6403719898911767,0.02431267007993252
Two-Locus Theory,0.1,42,0.00013219411484660288,0.6403719898911767,0.02431267007993252
Two-Locus Theory,0.1,42,0.0001519911082952933,0.6403719898911767,0.02431267007993252
Two-Locus Theory,0.1,42,0.0001747528400007683,0.6382571658739074,0.02436832823672385
Two-Locus Theory,0.1,42,0.00020092330025650479,0.6382571658739074,0.02436832823672385
Two-Locus Theory,0.1,42,0.00023101297000831605,0.6408943244639986,0.02429887519085846
Two-Locus Theory,0.1,42,0.00026560877829466864,0.6408943244639986,0.02429887519085846
Two-Locus Theory,0.1,42,0.0003053855508833416,0.6438808458369291,0.024219633309354626
Two-Locus Theory,0.1,42,0.0003511191734215131,0.6446474453188217,0.024199191577197295
Two-Locus Theory,0.1,42,0.0004037017258596554,0.6404646695953002,0.02431022379498196
Two-Locus Theory,0.1,42,0.0004641588833612782,0.6346776604447212,0.024461828005919707
Two-Locus Theory,0.1,42,0.0005336699231206312,0.631898121883472,0.024533825236224046
Two-Locus Theory,0.1,42,0.0006135907273413176,0.63142536505591,0.0245460184634663
Two-Locus Theory,0.1,42,0.0007054802310718645,0.6295751842574212,0.024593592192298307
Two-Locus Theory,0.1,42,0.0008111308307896872,0.6298641086119533,0.024586178332805093
Two-Locus Theory,0.1,42,0.0009326033468832199,0.6300732901258428,0.024580807172110124
Two-Locus Theory,0.1,42,0.0010722672220103231,0.630847360242733,0.02456090560714857
Two-Locus Theory,0.1,42,0.0012328467394420659,0.630847360242733,0.02456090560714857
Two-Locus Theory,0.1,42,0.0014174741629268048,0.6246499518144036,0.024719112174827126
Two-Locus Theory,0.1,42,0.0016297508346206436,0.6158770925384114,0.02493871058129004
Two-Locus Theory,0.1,42,0.001873817422860383,0.6188378953865975,0.0248651605998594
Two-Locus Theory,0.1,42,0.0021544346900318843,0.6326413401524983,0.024514625603239075
Two-Locus Theory,0.1,42,0.0024770763559917113,0.6353529966471847,0.024444255212159705
Two-Locus Theory,0.1,42,0.002848035868435802,0.6046540756353728,0.025212393348793397
Two-Locus Theory,0.1,42,0.0032745491628777285,0.6077581594402597,0.025137498030796235
Two-Locus Theory,0.1,42,0.0037649358067924675,0.6038849381026083,0.025230857573229057
Two-Locus Theory,0.1,42,0.004328761281083062,0.5934909727155371,0.025476785482124113
Two-Locus Theory,0.1,42,0.004977023564332114,0.6084226760640394,0.02512138561627595
Two-Locus Theory,0.1,42,0.00572236765935022,0.6061735290654878,0.025175807737802453
Two-Locus Theory,0.1,42,0.006579332246575682,0.5691279659191736,0.02602783615513478
Two-Locus Theory,0.1,42,0.007564633275546291,0.5672257544051116,0.02606941065469871
Two-Locus Theory,0.1,42,0.008697490026177835,0.5701197759262394,0.02600607762128505
Two-Locus Theory,0.1,42,0.01,0.5868039619456841,0.02563152473743182
Two-Locus Theory,0.1,42,0.011497569953977356,0.5967379528904925,0.02540067329792737
