scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
DivergenceMigration1,1500.0,4.52,0.35267414083005716,1518651621.1288638,40529.61682476041,10000,10132.404206190102,20000,42
DivergenceMigration1,1500.0,4.59,0.3908136677751931,1567175164.0137355,41458.14523328239,10000,10364.536308320598,20000,42
DivergenceMigration1,1500.0,4.66,0.43012932695728556,1584226949.4155846,41461.736865373095,10000,10365.434216343274,20000,42
DivergenceMigration1,1500.0,4.72,0.47657119484525523,1577097911.9914453,40906.29399251399,10000,10226.573498128497,20000,42
DivergenceMigration1,1500.0,4.79,0.521216195919483,1581627661.131007,41356.23677937129,10000,10339.059194842823,20000,42
DivergenceMigration1,1500.0,4.86,0.5622969986596922,1580789095.3585005,41243.2891127889,10000,10310.822278197225,20000,42
DivergenceMigration1,1500.0,4.93,0.5929763707650688,1513650406.8357406,41282.91088362515,10000,10320.727720906287,20000,42
DivergenceMigration1,1500.0,5.0,0.6243970716956876,1587040930.3381438,41491.80522245071,10000,10372.951305612678,20000,42
DivergenceMigration2,0.0,3.0,0.014455991186003282,1649608495.547389,40339.373112057896,10000,10084.843278014474,20000,42
DivergenceMigration2,0.0,3.07,0.015195487971841845,1595635321.6270046,39526.937666272905,10000,9881.734416568226,20000,42
DivergenceMigration2,0.0,3.14,0.013749331483075423,1568238629.96228,40044.63897559627,10000,10011.159743899067,20000,42
DivergenceMigration2,0.0,3.21,0.014858841578797688,1565234205.4741573,39606.56325785098,10000,9901.640814462746,20000,42
DivergenceMigration2,0.0,3.28,0.01471276655175496,1598976691.7647545,40189.69849514607,10000,10047.424623786517,20000,42
DivergenceMigration2,0.0,3.34,0.03275026889277863,1603752723.0491962,40153.68518152093,10000,10038.421295380233,20000,42
DivergenceMigration2,0.0,3.41,0.031083638483561223,1647590947.245083,40475.05820433433,10000,10118.764551083583,20000,42
DivergenceMigration2,0.0,3.48,0.04424103276770975,1509127846.8466215,39206.867259850165,10000,9801.716814962541,20000,42
DivergenceMigration2,0.0,3.55,0.05492562044450194,1571141348.2992017,39973.31886435386,10000,9993.329716088465,20000,42
DivergenceMigration2,0.0,3.62,0.06484912584770446,1580872533.3691943,40000.13003631748,10000,10000.03250907937,20000,42
DivergenceMigration2,0.0,3.69,0.07007446310255597,1618554603.6957712,40250.37529108291,10000,10062.593822770728,20000,42
DivergenceMigration2,0.0,3.76,0.061839540232432204,1554592669.7220488,39849.75421283289,10000,9962.438553208223,20000,42
DivergenceMigration2,0.0,3.83,0.08462336170800744,1581237002.214251,39658.4602693302,10000,9914.61506733255,20000,42
DivergenceMigration2,0.0,3.9,0.1181137818759223,1538521079.4260821,39541.19693345765,10000,9885.299233364412,20000,42
DivergenceMigration2,0.0,3.97,0.1261258672260747,1605701029.9556413,40000.984891108645,10000,10000.246222777161,20000,42
DivergenceMigration2,0.0,4.03,0.14043675920420287,1618088235.047394,40217.191599880025,10000,10054.297899970006,20000,42
DivergenceMigration2,0.0,4.1,0.1770245952392223,1556631795.6451488,39624.861729175136,10000,9906.215432293784,20000,42
DivergenceMigration2,0.0,4.17,0.2034741095392867,1578744399.4975863,40183.50559623468,10000,10045.87639905867,20000,42
DivergenceMigration2,0.0,4.24,0.23064591764548437,1604894566.7310367,40117.58470753716,10000,10029.39617688429,20000,42
DivergenceMigration2,0.0,4.31,0.2713254436936453,1657311020.7248607,40174.530123291224,10000,10043.632530822806,20000,42
DivergenceMigration2,0.0,4.38,0.2938777818680254,1630784753.8261142,40597.04040209621,10000,10149.260100524052,20000,42
DivergenceMigration2,0.0,4.45,0.33240702164130453,1628542776.990575,40259.86506587749,10000,10064.966266469373,20000,42
DivergenceMigration2,0.0,4.52,0.36241462207770875,1571486336.8550384,39985.92172631194,10000,9996.480431577986,20000,42
DivergenceMigration2,0.0,4.59,0.39073841474669635,1595275170.701968,40203.785195599376,10000,10050.946298899844,20000,42
DivergenceMigration2,0.0,4.66,0.4519395876315464,1638162054.6905067,40231.71185097501,10000,10057.927962743752,20000,42
DivergenceMigration2,0.0,4.72,0.48486663588029844,1630773957.721276,40307.092194590085,10000,10076.773048647521,20000,42
DivergenceMigration2,0.0,4.79,0.5215596508968365,1624391730.6585355,39887.39508102881,10000,9971.848770257202,20000,42
DivergenceMigration2,0.0,4.86,0.5838778592729867,1597421722.266106,39977.68453911648,10000,9994.42113477912,20000,42
DivergenceMigration2,0.0,4.93,0.6101128092940424,1662360257.3705719,40542.51891082212,10000,10135.62972770553,20000,42
