scenario,ta,rec_rate,corr_bl,cov_bl,exp_bl,Ne,Ne_est,Nreps,seed
Tennessen,1500.0,3.97,0.18277158229213775,1044746114.0082148,34133.07441428985,10000.0,8533.268603572462,20000,42
Tennessen,1500.0,4.03,0.20271841416138603,1078987083.8936713,34426.5779658038,10000.0,8606.64449145095,20000,42
Tennessen,1500.0,4.1,0.2204478813448613,1038257905.3243415,34092.49752903452,10000.0,8523.12438225863,20000,42
Tennessen,1500.0,4.17,0.2540768327589378,1042823916.1044079,33881.40247279131,10000.0,8470.350618197828,20000,42
Tennessen,1500.0,4.24,0.303090492909789,1030546994.5110099,33870.538856151215,10000.0,8467.634714037804,20000,42
Tennessen,1500.0,4.31,0.32672586490356736,1017397177.012862,33914.0504888869,10000.0,8478.512622221726,20000,42
Tennessen,1500.0,4.38,0.3683641105947533,1024685482.1885842,33891.237074172655,10000.0,8472.809268543164,20000,42
Tennessen,1500.0,4.45,0.4142066280213734,1010749418.9526962,34008.38834964463,10000.0,8502.097087411157,20000,42
Tennessen,1500.0,4.52,0.44308485275828535,1073135933.20082,34666.916543321815,10000.0,8666.729135830454,20000,42
Tennessen,1500.0,4.59,0.4858313628188388,1036040613.4676173,33873.73851089514,10000.0,8468.434627723786,20000,42
Tennessen,1500.0,4.66,0.5476803651300564,1020581910.580612,33543.927667606345,10000.0,8385.981916901586,20000,42
Tennessen,1500.0,4.72,0.5797409907344363,1033382262.3030553,33969.20369477914,10000.0,8492.300923694786,20000,42
Tennessen,1500.0,4.79,0.5993342477565836,1033054191.5298551,33954.29092527592,10000.0,8488.57273131898,20000,42
Tennessen,1500.0,4.86,0.6464187088983344,1008542341.174671,34106.19628786874,10000.0,8526.549071967185,20000,42
Tennessen,1500.0,4.93,0.682114265698239,1036869248.717576,34342.70140606267,10000.0,8585.675351515667,20000,42
Tennessen,1500.0,5.0,0.7059827660904632,1019019918.4974234,34054.01130945707,10000.0,8513.502827364267,20000,42
